Team1_Pyth,Team1_Luck,Team1_SOS_Pyth,Team1_NCSOS_Pyth,Team2_Pyth,Team2_Luck,Team2_SOS_Pyth,Team2_NCSOS_Pyth,outcome
-1.21,-0.07,-4.14,-0.42,-8.71,0.097,-14.53,2.6,1
-8.71,0.097,-14.53,2.6,-1.21,-0.07,-4.14,-0.42,0
34.19,-0.027000000000000003,9.87,6.66,-5.31,0.038,-10.73,-0.98,1
-5.31,0.038,-10.73,-0.98,34.19,-0.027000000000000003,9.87,6.66,0
19.27,-0.087,7.34,-1.55,15.73,-0.008,9.24,6.49,1
15.73,-0.008,9.24,6.49,19.27,-0.087,7.34,-1.55,0
24.8,-0.049,14.12,13.54,14.08,0.01,5.38,1.57,1
14.08,0.01,5.38,1.57,24.8,-0.049,14.12,13.54,0
11.32,-0.003,0.83,4.57,20.67,-0.051,9.31,1.9,1
20.67,-0.051,9.31,1.9,11.32,-0.003,0.83,4.57,0
16.03,0.08800000000000001,7.89,-5.85,12.23,-0.019,-2.38,0.98,1
12.23,-0.019,-2.38,0.98,16.03,0.08800000000000001,7.89,-5.85,0
19.94,0.0,3.12,-12.07,0.93,0.13699999999999998,-11.95,-4.98,1
0.93,0.13699999999999998,-11.95,-4.98,19.94,0.0,3.12,-12.07,0
20.39,0.008,3.11,2.99,15.8,0.047,7.11,0.53,1
15.8,0.047,7.11,0.53,20.39,0.008,3.11,2.99,0
18.73,0.076,8.59,-1.56,-2.5,0.06,-4.94,-4.52,1
-2.5,0.06,-4.94,-4.52,18.73,0.076,8.59,-1.56,0
30.19,0.002,6.58,3.48,-2.74,0.102,-9.18,0.25,1
-2.74,0.102,-9.18,0.25,30.19,0.002,6.58,3.48,0
16.34,0.048,12.0,8.58,16.68,-0.04,7.32,-6.24,1
16.68,-0.04,7.32,-6.24,16.34,0.048,12.0,8.58,0
17.49,-0.01,7.92,-0.39,15.77,0.017,5.75,-5.04,1
15.77,0.017,5.75,-5.04,17.49,-0.01,7.92,-0.39,0
19.76,0.005,7.51,-1.26,3.7,0.142,1.79,9.43,1
3.7,0.142,1.79,9.43,19.76,0.005,7.51,-1.26,0
11.01,0.032,3.51,-5.47,18.51,0.049,1.13,4.04,1
18.51,0.049,1.13,4.04,11.01,0.032,3.51,-5.47,0
20.54,0.079,14.22,17.56,8.87,-0.058,0.45,3.37,1
8.87,-0.058,0.45,3.37,20.54,0.079,14.22,17.56,0
18.6,0.051,5.1,5.37,13.15,0.006999999999999999,-0.72,-9.7,1
13.15,0.006999999999999999,-0.72,-9.7,18.6,0.051,5.1,5.37,0
26.04,0.043,8.77,-0.44,3.85,0.04,1.84,0.67,1
3.85,0.04,1.84,0.67,26.04,0.043,8.77,-0.44,0
29.25,0.025,9.88,1.62,-1.21,-0.07,-4.14,-0.42,1
-1.21,-0.07,-4.14,-0.42,29.25,0.025,9.88,1.62,0
13.22,0.049,10.57,8.49,9.06,0.08900000000000001,6.4,-0.79,1
9.06,0.08900000000000001,6.4,-0.79,13.22,0.049,10.57,8.49,0
15.59,0.001,2.03,-1.44,21.47,0.006,5.41,-2.87,1
21.47,0.006,5.41,-2.87,15.59,0.001,2.03,-1.44,0
22.21,-0.029,12.97,6.75,13.63,-0.032,-1.66,2.06,1
13.63,-0.032,-1.66,2.06,22.21,-0.029,12.97,6.75,0
13.45,0.034,2.12,3.16,17.24,0.061,6.69,-0.13,1
17.24,0.061,6.69,-0.13,13.45,0.034,2.12,3.16,0
18.44,-0.021,9.88,3.3,1.35,0.017,-1.74,3.98,1
1.35,0.017,-1.74,3.98,18.44,-0.021,9.88,3.3,0
19.15,0.012,8.28,-5.56,16.86,-0.026,9.76,1.5,1
16.86,-0.026,9.76,1.5,19.15,0.012,8.28,-5.56,0
19.36,0.063,8.19,1.73,3.99,0.013,-8.67,0.87,1
3.99,0.013,-8.67,0.87,19.36,0.063,8.19,1.73,0
28.99,0.022,10.67,8.32,-0.24,-0.048,-6.4,-3.38,1
-0.24,-0.048,-6.4,-3.38,28.99,0.022,10.67,8.32,0
20.32,-0.02,10.33,2.1,14.51,0.06,0.23,0.29,1
14.51,0.06,0.23,0.29,20.32,-0.02,10.33,2.1,0
11.82,0.029,1.39,0.93,24.72,-0.073,9.11,-0.56,1
24.72,-0.073,9.11,-0.56,11.82,0.029,1.39,0.93,0
23.21,0.016,10.6,6.79,9.29,0.055,5.64,0.67,1
9.29,0.055,5.64,0.67,23.21,0.016,10.6,6.79,0
17.69,-0.021,10.18,5.3,9.97,0.04,6.41,-2.78,1
9.97,0.04,6.41,-2.78,17.69,-0.021,10.18,5.3,0
18.25,0.107,8.93,-0.96,5.39,0.023,-4.6,12.81,1
5.39,0.023,-4.6,12.81,18.25,0.107,8.93,-0.96,0
17.35,0.006,11.24,5.85,11.72,0.061,3.97,11.94,1
11.72,0.061,3.97,11.94,17.35,0.006,11.24,5.85,0
22.97,-0.041,8.15,-3.3,-4.51,0.053,-1.95,0.44,1
-4.51,0.053,-1.95,0.44,22.97,-0.041,8.15,-3.3,0
34.19,-0.027000000000000003,9.87,6.66,19.27,-0.087,7.34,-1.55,1
19.27,-0.087,7.34,-1.55,34.19,-0.027000000000000003,9.87,6.66,0
24.8,-0.049,14.12,13.54,11.32,-0.003,0.83,4.57,1
11.32,-0.003,0.83,4.57,24.8,-0.049,14.12,13.54,0
19.94,0.0,3.12,-12.07,16.03,0.08800000000000001,7.89,-5.85,1
16.03,0.08800000000000001,7.89,-5.85,19.94,0.0,3.12,-12.07,0
20.39,0.008,3.11,2.99,18.73,0.076,8.59,-1.56,1
18.73,0.076,8.59,-1.56,20.39,0.008,3.11,2.99,0
16.34,0.048,12.0,8.58,30.19,0.002,6.58,3.48,1
