historical,pomeroy
Saint Mary's Calif.,Saint Mary's
St. Peter's,Saint Peter's
Jackson St,Jackson St.
Texas-Arlington,UT Arlington
ETSU,East Tennessee St.
Ball St,Ball St.
St. Mary's,Saint Mary's
Jackson State,Jackson St.
St. John's (N.Y.),St. John's
Charleston So,Charleston Southern
Missouri St,Missouri St.
Oakland Mich.,Oakland
Florida St,Florida St.
W Carolina,Western Carolina
Indiana St,Indiana St.
UConn,Connecticut
Wichita State,Wichita St.
Ill-Chicago,Illinois Chicago
Jacksonville S,Jacksonville St.
Southern Mississippi,Southern Miss
TN Martin,Tennessee Martin
No,?
UT San Antonio,UTSA
Ill.-Chicago,Illinois Chicago
N. Iowa,Northern Iowa
Houston Bap,Houston Baptist
Saint Mary’s Calif.,Saint Mary's
E. Tennessee St.,East Tennessee St.
Loyola (Md.),Loyola MD
Kent,Kent St.
Central Conn. St.,Central Connecticut
MVSU,Mississippi Valley St.
Chicago St,Chicago St.
St Francis NY,St. Francis NY
W Michigan,Western Michigan
CS Fullerton,Cal St. Fullerton
Michigan State,Michigan St.
Arizona State,Arizona St.
Col Charleston,College of Charleston
UC Santa Barbar,UC Santa Barbara
Florida State,Florida St.
Weber State,Weber St.
Boise St,Boise St.
WI-Milwaulee,Milwaukee
Iowa State,Iowa St.
Mt St Mary's,Mount St. Mary's
Cal State Northridge,Cal St. Northridge
Pennsylvania,Penn
Texas St,Texas St.
C. Connecticut State,Central Connecticut
St Francis PA,St. Francis PA
Youngstown St,Youngstown St.
Kent State,Kent St.
Ohio St,Ohio St.
NC-Wilmington,UNC Wilmington
Missouri KC,UMKC
TX-San Antonio,UTSA
S. Carolina St.,South Carolina St.
Brigham Young,BYU
Virginia Commonwealth,VCU
Long Beach State,Long Beach St.
Texas-El Paso,UTEP
S Dakota St,South Dakota St.
Sam Houston St,Sam Houston St.
Arkansas-Pine Bluff,Arkansas Pine Bluff
Michigan St,Michigan St.
Mississippi Valley State,Mississippi Valley St.
North Carolina State,North Carolina St.
New Mexico St,New Mexico St.
NC Central,North Carolina Central
NC A&T,North Carolina A&T
Loyola-Chicago,Loyola Chicago
SC Upstate,USC Upstate
Ark Little Rock,Arkansas Little Rock
NE Omaha,Nebraska Omaha
N Illinois,Northern Illinois
Indiana State,Indiana St.
E Washington,Eastern Washington
Utah State,Utah St.
Cleveland State,Cleveland St.
Colorado State,Colorado St.
Southern California,USC
Savannah St,Savannah St.
Alabama St,Alabama St.
Tennessee St,Tennessee St.
Central Florida,UCF
Coastal Car,Coastal Carolina
MD E Shore,Maryland Eastern Shore
Colorado St,Colorado St.
Wright State,Wright St.
Delaware State,Delaware St.
Alabama State,Alabama St.
Texas A&am;M-Corpus Christi,Texas A&M Corpus Chris
Northwestern State,Northwestern St.
New Mexico State,New Mexico St.
Penn State,Penn St.
St Joseph's PA,Saint Joseph's
Monmouth NJ,Monmouth
Miami (Fla.),Miami FL
Iowa St,Iowa St.
South Dakota State,South Dakota St.
N. Carolina St.,North Carolina St.
St John's,St. John's
CS Bakersfield,Cal St. Bakersfield
IL Chicago,Illinois Chicago
W Illinois,Western Illinois
Buter,Butler
Mississippi St,Mississippi St.
Northwestern LA,Northwestern St.
F Dickinson,Fairleigh Dickinson
Cent Arkansas,Central Arkansas
LA-Lafayette,Louisiana Lafayette
Southern Ill.,Southern Illinois
Fresno St,Fresno St.
Albany N.Y.,Albany
WI Green Bay,Green Bay
W. Michigan,Western Michigan
NC State,North Carolina St.
Fla. Atlantic,Florida Atlantic
N Kentucky,Northern Kentucky
N Dakota St,North Dakota St.
Norfolk State,Norfolk St.
Ohio State,Ohio St.
Oregon St,Oregon St.
E Illinois,Eastern Illinois
UTRGV,UT Rio Grande Valley
Mississippi State,Mississippi St.
VA Commonwealth,VCU
S. Illinois,Southern Illinois
San Diego State,San Diego St.
Portland State,Portland St.
Morgan State,Morgan St.
SF Austin,Stephen F. Austin
WI Milwaukee,Milwaukee
C. Michigan,Central Michigan
Monmouth N.J.,Monmouth
Miami (Ohio),Miami OH
Cincnnati,Cincinnati
Maryland-Baltimore County,UMBC
WKU,Western Kentucky
Wright St,Wright St.
Morehead St,Morehead St.
American Univ,American
Boston Univ,Boston University
Portland St,Portland St.
Wichita St,Wichita St.
