TeamID,Team,Year,Pyth,Luck,SOS Pyth,NCSOS Pyth
1101,Abilene Christian,2019,2.09,0.087,-9.03,-4.51
1113,Arizona St.,2019,11.21,0.046,4.81,1.8
1120,Auburn,2019,23.33,0.003,10.89,2.82
1124,Baylor,2019,15.29,-0.032,9.18,-4.2
1125,Belmont,2019,13.08,0.041,-3.22,3.46
1133,Bradley,2019,-0.36,0.04,-2.12,-3.8
1138,Buffalo,2019,20.33,0.041,2.8,1.58
1153,Cincinnati,2019,17.05,0.06,4.2,-2.63
1159,Colgate,2019,4.29,0.021,-4.21,1.23
1181,Duke,2019,31.99,0.018000000000000002,13.25,5.47
1192,Fairleigh Dickinson,2019,-4.24,0.01,-8.74,-1.49
1196,Florida,2019,18.33,-0.07200000000000001,11.65,5.4
1199,Florida St.,2019,22.56,0.045,10.71,1.1
1205,Gardner Webb,2019,-0.74,0.07,-4.52,-3.62
1209,Georgia St.,2019,5.6,0.126,0.94,4.06
1211,Gonzaga,2019,32.79,0.008,3.38,1.99
1222,Houston,2019,22.43,0.057,3.16,-3.79
1233,Iona,2019,-3.13,-0.025,-6.67,0.92
1234,Iowa,2019,15.96,0.057,10.57,-6.6
1235,Iowa St.,2019,21.85,-0.051,10.36,-1.45
1242,Kansas,2019,20.71,0.08800000000000001,13.89,10.99
1243,Kansas St.,2019,20.22,0.061,10.05,-0.5
1246,Kentucky,2019,27.42,0.037000000000000005,11.03,2.26
1251,Liberty,2019,10.87,0.006,-4.56,-2.83
1257,Louisville,2019,20.97,-0.054000000000000006,13.0,6.05
1261,LSU,2019,20.97,0.035,9.5,3.09
1266,Marquette,2019,18.42,0.006999999999999999,7.65,0.79
1268,Maryland,2019,19.98,0.001,11.08,-4.62
1276,Michigan,2019,29.44,-0.014,11.65,-4.94
1277,Michigan St.,2019,31.36,-0.006999999999999999,13.58,3.15
1278,Minnesota,2019,14.46,0.08199999999999999,12.07,-2.78
1279,Mississippi,2019,15.09,-0.018000000000000002,8.69,-0.77
1280,Mississippi St.,2019,20.68,-0.027000000000000003,10.46,2.49
1285,Montana,2019,3.55,0.057,-6.59,4.46
1293,Murray St.,2019,13.34,0.033,-4.77,-1.01
1295,North Dakota St.,2019,-3.2,0.052000000000000005,-3.07,3.73
1297,Northern Kentucky,2019,6.56,-0.008,-4.29,-2.62
1300,North Carolina Central,2019,-11.89,0.004,-12.17,1.47
1305,Nevada,2019,18.92,0.039,1.38,1.99
1308,New Mexico St.,2019,13.59,0.061,-3.52,-2.94
1314,North Carolina,2019,29.17,0.024,13.68,5.77
1318,Northeastern,2019,8.74,0.023,-0.8,6.95
1326,Ohio St.,2019,15.08,0.005,11.63,-2.69
1328,Oklahoma,2019,15.54,0.031,12.63,7.84
1330,Old Dominion,2019,5.58,0.055,-2.37,-5.71
1332,Oregon,2019,15.15,-0.039,4.1,0.26
1341,Prairie View A&M,2019,-4.31,0.07400000000000001,-8.25,6.55
1345,Purdue,2019,26.05,-0.012,13.04,4.33
1371,Seton Hall,2019,12.91,0.022,9.42,4.43
1385,St. John's,2019,8.75,0.071,5.92,-6.09
1387,Saint Louis,2019,6.27,0.045,0.37,-1.05
1388,Saint Mary's,2019,17.71,-0.033,3.63,-0.39
1393,Syracuse,2019,16.3,0.005,10.06,0.49
1396,Temple,2019,9.39,0.065,3.81,-0.63
1397,Tennessee,2019,26.98,0.038,10.58,1.36
1403,Texas Tech,2019,26.75,0.004,8.31,-5.01
1414,UC Irvine,2019,9.46,0.097,-3.93,1.82
1416,UCF,2019,14.58,0.029,3.61,-3.42
1429,Utah St.,2019,16.62,0.006999999999999999,0.01,1.14
1433,VCU,2019,15.69,0.004,1.15,3.49
1436,Vermont,2019,8.71,0.056,-6.01,3.52
1437,Villanova,2019,18.77,0.017,8.21,3.61
1438,Virginia,2019,35.66,0.024,10.51,-2.82
1439,Virginia Tech,2019,24.47,0.002,8.61,-6.04
1449,Washington,2019,13.37,0.078,4.95,3.11
1458,Wisconsin,2019,23.68,-0.026,13.57,3.56
1459,Wofford,2019,20.72,0.06,1.37,8.41
1463,Yale,2019,8.58,0.057,-1.53,-1.9
