Team1,Team1_Score,Team2,Team2_Score,Winner,Year
Siena,81,Alcorn St.,77,Team1,2002
Duke,84,Winthrop,37,Team1,2002
Notre Dame,82,Charlotte,63,Team1,2002
Indiana,75,Utah,56,Team1,2002
UNC Wilmington,93,Southern California,89,Team1,2002
California,82,Pennsylvania,75,Team1,2002
Pittsburgh,71,Central Conn. St.,54,Team1,2002
Kent St.,69,Oklahoma St.,61,Team1,2002
Alabama,86,Fla. Atlantic,78,Team1,2002
Cincinnati,90,Boston U.,52,Team1,2002
UCLA,80,Mississippi,58,Team1,2002
Missouri,93,Miami (Fla.),80,Team1,2002
Ohio St.,69,Davidson,64,Team1,2002
Wyoming,73,Gonzaga,66,Team1,2002
Arizona,86,UC Santa Barb.,81,Team1,2002
Xavier,70,Hawaii,58,Team1,2002
Oklahoma,71,Ill.-Chicago,63,Team1,2002
Maryland,85,Siena,70,Team1,2002
Wisconsin,80,St. John's (N.Y.),70,Team1,2002
Tulsa,71,Marquette,69,Team1,2002
Kentucky,83,Valparaiso,68,Team1,2002
Southern Ill.,76,Texas Tech,68,Team1,2002
Georgia,85,Murray St.,68,Team1,2002
North Carolina St.,69,Michigan St.,58,Team1,2002
Connecticut,78,Hampton,67,Team1,2002
Kansas,70,Holy Cross,59,Team1,2002
Stanford,84,Western Ky.,68,Team1,2002
Creighton,83,Florida,82,Team1,2002
Illinois,93,San Diego St.,64,Team1,2002
Texas,70,Boston College,57,Team1,2002
Mississippi St.,70,McNeese St.,58,Team1,2002
Wake Forest,83,Pepperdine,74,Team1,2002
Oregon,81,Montana,62,Team1,2002
Duke,84,Notre Dame,77,Team1,2002
Indiana,76,UNC Wilmington,67,Team1,2002
Pittsburgh,63,California,50,Team1,2002
Kent St.,71,Alabama,58,Team1,2002
UCLA,105,Cincinnati,101,Team1,2002
Missouri,83,Ohio St.,67,Team1,2002
Arizona,68,Wyoming,60,Team1,2002
Oklahoma,78,Xavier,65,Team1,2002
Maryland,87,Wisconsin,57,Team1,2002
Kentucky,87,Tulsa,82,Team1,2002
Southern Ill.,77,Georgia,75,Team1,2002
Connecticut,77,North Carolina St.,74,Team1,2002
Kansas,86,Stanford,63,Team1,2002
Illinois,72,Creighton,60,Team1,2002
Texas,68,Mississippi St.,64,Team1,2002
Oregon,92,Wake Forest,87,Team1,2002
Indiana,74,Duke,73,Team1,2002
Kent St.,78,Pittsburgh,73,Team1,2002
Missouri,82,UCLA,73,Team1,2002
Oklahoma,88,Arizona,67,Team1,2002
Maryland,78,Kentucky,68,Team1,2002
Connecticut,71,Southern Ill.,59,Team1,2002
Kansas,73,Illinois,69,Team1,2002
Oregon,72,Texas,70,Team1,2002
Indiana,81,Kent St.,69,Team1,2002
Oklahoma,81,Missouri,75,Team1,2002
Maryland,90,Connecticut,82,Team1,2002
Kansas,104,Oregon,86,Team1,2002
Indiana,73,Oklahoma,64,Team1,2002
Maryland,97,Kansas,88,Team1,2002
Maryland,64,Indiana,52,Team1,2002
UNC-Asheville,92,Texas Southern,84,Team1,2003
Kentucky,95,IUPUI,64,Team1,2003
Utah,60,Oregon,58,Team1,2003
Wisconsin,81,Weber St.,74,Team1,2003
Tulsa,84,Dayton,71,Team1,2003
Missouri,72,S. Illinois,71,Team1,2003
Marquette,72,Holy Cross,68,Team1,2003
Indiana,67,Alabama,62,Team1,2003
Pittsburgh,87,Wagner,61,Team1,2003
Arizona,80,Vermont,51,Team1,2003
Gonzaga,74,Cincinnati,69,Team1,2003
Notre Dame,70,WI-Milwaulee,69,Team1,2003
Illinois,65,W. Kentucky,60,Team1,2003
C. Michigan,79,Creighton,73,Team1,2003
Duke,67,Colorado St.,57,Team1,2003
Arizona St.,84,Memphis,71,Team1,2003
Kansas,64,Utah St.,61,Team1,2003
Texas,82,UNC-Asheville,61,Team1,2003
Purdue,80,LSU,56,Team1,2003
Connecticut,58,BYU,53,Team1,2003
Stanford,77,San Diego,69,Team1,2003
Maryland,75,UNC-Wilmington,73,Team1,2003
Xavier,71,Troy St.,59,Team1,2003
Michigan St.,79,Colorado,64,Team1,2003
Florida,85,Sam Houston St.,55,Team1,2003
Oklahoma,71,S. Carolina St.,54,Team1,2003
California,76,N.C. State,74,Team1,2003
