Team1,Team1_Score,Team2,Team2_Score,Winner,Year
NC A&T,73,Liberty,72,Team1,2013
St Mary's CA,67,MTSU,54,Team1,2013
Maryland,86,Niagara,70,Team1,2013
St John's,63,St Joseph's PA,61,Team1,2013
Louisiana Tech,71,Florida St,66,Team1,2013
Robert Morris,59,Kentucky,57,Team1,2013
Virginia,67,Norfolk St,56,Team1,2013
Alabama,62,Northeastern,43,Team1,2013
Denver,61,Ohio,57,Team1,2013
BYU,90,Washington,79,Team1,2013
Stanford,58,SF Austin,57,Team1,2013
George Mason,78,Col Charleston,77,Team1,2013
Wyoming,67,Lehigh,66,Team1,2013
Santa Clara,77,Vermont,67,Team1,2013
Rider,63,Hartford,54,Team1,2013
East Carolina,66,Savannah St,65,Team1,2013
E Kentucky,69,Gardner Webb,62,Team1,2013
Youngstown St,99,Oakland,87,Team1,2013
Loyola MD,70,Boston Univ,63,Team1,2013
Evansville,84,Tennessee St,72,Team1,2013
James Madison,68,LIU Brooklyn,55,Team1,2013
La Salle,80,Boise St,71,Team1,2013
Iowa,68,Indiana St,52,Team1,2013
Stony Brook,71,Massachusetts,58,Team1,2013
Providence,75,Charlotte,66,Team1,2013
Mercer,75,Tennessee,67,Team1,2013
Baylor,112,Long Beach St,66,Team1,2013
Southern Miss,78,Charleston So,71,Team1,2013
Arizona St,83,Detroit,68,Team1,2013
Purdue,81,W Illinois,67,Team1,2013
W Michigan,72,N Dakota St,71,Team1,2013
Wright St,72,Tulsa,52,Team1,2013
Richmond,76,Bryant,71,Team1,2013
Houston,73,Texas,72,Team1,2013
Canisius,69,Elon,53,Team1,2013
Kent,73,Fairfield,71,Team1,2013
Bradley,75,WI Green Bay,69,Team1,2013
IL Chicago,80,Chicago St,69,Team1,2013
Northern Iowa,77,North Dakota,66,Team1,2013
Tulane,84,South Alabama,73,Team1,2013
Oral Roberts,84,UT Arlington,76,Team1,2013
Weber St,85,Cal Poly,43,Team1,2013
UC Irvine,80,High Point,71,Team1,2013
Air Force,69,Hawaii,65,Team1,2013
Michigan St,65,Valparaiso,54,Team1,2013
Butler,68,Bucknell,56,Team1,2013
Wichita St,73,Pittsburgh,55,Team1,2013
St Louis,64,New Mexico St,44,Team1,2013
Memphis,54,St Mary's CA,52,Team1,2013
Marquette,59,Davidson,58,Team1,2013
Gonzaga,64,Southern Univ,58,Team1,2013
Oregon,68,Oklahoma St,55,Team1,2013
Louisville,79,NC A&T,48,Team1,2013
Michigan,71,S Dakota St,56,Team1,2013
Arizona,81,Belmont,64,Team1,2013
California,64,UNLV,61,Team1,2013
Colorado St,84,Missouri,72,Team1,2013
VA Commonwealth,88,Akron,42,Team1,2013
Harvard,68,New Mexico,62,Team1,2013
Syracuse,81,Montana,34,Team1,2013
Maryland,62,Denver,52,Team1,2013
Duke,73,Albany NY,61,Team1,2013
Mississippi,57,Wisconsin,46,Team1,2013
Temple,76,NC State,72,Team1,2013
Miami FL,78,Pacific,49,Team1,2013
Creighton,67,Cincinnati,63,Team1,2013
La Salle,63,Kansas St,61,Team1,2013
Indiana,83,James Madison,62,Team1,2013
Illinois,57,Colorado,49,Team1,2013
FL Gulf Coast,78,Georgetown,68,Team1,2013
Ohio St,95,Iona,70,Team1,2013
North Carolina,78,Villanova,71,Team1,2013
Florida,79,Northwestern LA,47,Team1,2013
San Diego St,70,Oklahoma,55,Team1,2013
Iowa St,76,Notre Dame,58,Team1,2013
Kansas,64,WKU,57,Team1,2013
Minnesota,83,UCLA,63,Team1,2013
Baylor,89,Arizona St,86,Team1,2013
Iowa,75,Stony Brook,63,Team1,2013
Michigan,78,VA Commonwealth,53,Team1,2013
Michigan St,70,Memphis,48,Team1,2013
Louisville,82,Colorado St,56,Team1,2013
Arizona,74,Harvard,51,Team1,2013
Oregon,74,St Louis,57,Team1,2013
Marquette,74,Butler,72,Team1,2013
Wichita St,76,Gonzaga,70,Team1,2013
Syracuse,66,California,60,Team1,2013
Alabama,66,Stanford,54,Team1,2013
Evansville,86,E Kentucky,72,Team1,2013
East Carolina,75,Rider,54,Team1,2013
Canisius,84,Youngstown St,82,Team1,2013
Bradley,77,Tulane,72,Team1,2013
Northern Iowa,63,IL Chicago,51,Team1,2013
Weber St,78,Air Force,57,Team1,2013
Virginia,68,St John's,50,Team1,2013
Loyola MD,73,Kent,59,Team1,2013
Indiana,58,Temple,52,Team1,2013
Kansas,70,North Carolina,58,Team1,2013
Florida,78,Minnesota,64,Team1,2013
FL Gulf Coast,81,San Diego St,71,Team1,2013
La Salle,76,Mississippi,74,Team1,2013
Miami FL,63,Illinois,59,Team1,2013
Duke,66,Creighton,50,Team1,2013
Ohio St,78,Iowa St,75,Team1,2013
Providence,77,Robert Morris,68,Team1,2013
BYU,90,Mercer,71,Team1,2013
Southern Miss,63,Louisiana Tech,52,Team1,2013
George Mason,88,Houston,84,Team1,2013
Santa Clara,86,Purdue,83,Team1,2013
Wright St,57,Richmond,51,Team1,2013
W Michigan,75,Wyoming,67,Team1,2013
Oral Roberts,76,UC Irvine,62,Team1,2013
Maryland,58,Alabama,57,Team1,2013
East Carolina,70,Loyola MD,58,Team1,2013
Evansville,84,Canisius,83,Team1,2013
Northern Iowa,90,Bradley,77,Team1,2013
Iowa,75,Virginia,64,Team1,2013
BYU,79,Southern Miss,62,Team1,2013
Baylor,79,Providence,68,Team1,2013
George Mason,62,W Michigan,52,Team1,2013
Santa Clara,81,Wright St,69,Team1,2013
Weber St,83,Oral Roberts,74,Team1,2013
Ohio St,73,Arizona,70,Team1,2013
Marquette,71,Miami FL,61,Team1,2013
Syracuse,61,Indiana,50,Team1,2013
Wichita St,72,La Salle,58,Team1,2013
Louisville,77,Oregon,69,Team1,2013
Michigan,87,Kansas,85,Team1,2013
Duke,71,Michigan St,61,Team1,2013
Florida,62,FL Gulf Coast,50,Team1,2013
Syracuse,55,Marquette,39,Team1,2013
Wichita St,70,Ohio St,66,Team1,2013
East Carolina,81,Evansville,58,Team1,2013
Weber St,59,Northern Iowa,56,Team1,2013
Michigan,79,Florida,59,Team1,2013
Louisville,85,Duke,63,Team1,2013
Santa Clara,81,George Mason,73,Team1,2013
Baylor,76,BYU,70,Team1,2013
Iowa,71,Maryland,60,Team1,2013
East Carolina,77,Weber St,74,Team1,2013
George Mason,73,Santa Clara,66,Team1,2013
Baylor,74,Iowa,54,Team1,2013
Santa Clara,80,George Mason,77,Team1,2013
Louisville,72,Wichita St,68,Team1,2013
Michigan,61,Syracuse,56,Team1,2013
Louisville,82,Michigan,76,Team1,2013
Robert Morris,89,St John's,78,Team1,2014
Florida St,58,FL Gulf Coast,53,Team1,2014
Georgetown,77,West Virginia,65,Team1,2014
Belmont,80,WI Green Bay,65,Team1,2014
Minnesota,88,High Point,81,Team1,2014
Arkansas,91,Indiana St,71,Team1,2014
Clemson,78,Georgia St,66,Team1,2014
Missouri,85,Davidson,77,Team1,2014
St Mary's CA,70,Utah,58,Team1,2014
Siena,66,Stony Brook,55,Team1,2014
Sam Houston St,71,Alabama St,49,Team1,2014
VMI,111,Canisius,100,Team1,2014
Wright St,73,East Carolina,59,Team1,2014
E Michigan,58,Norfolk St,54,Team1,2014
ETSU,79,Chattanooga,66,Team1,2014
Columbia,58,Valparaiso,56,Team1,2014
San Diego,87,Portland St,65,Team1,2014
Albany NY,71,Mt St Mary's,64,Team1,2014
NC State,74,Xavier,59,Team1,2014
Illinois,66,Boston Univ,62,Team1,2014
Louisiana Tech,89,Iona,88,Team1,2014
Georgia,63,Vermont,56,Team1,2014
Southern Miss,66,Toledo,59,Team1,2014
SMU,68,UC Irvine,54,Team1,2014
LSU,71,San Francisco,63,Team1,2014
California,77,Utah Valley,64,Team1,2014
Princeton,56,Tulane,55,Team1,2014
Penn St,69,Hampton,65,Team1,2014
Radford,96,Oregon St,92,Team1,2014
Old Dominion,72,S Dakota St,65,Team1,2014
Texas A&M,59,Wyoming,43,Team1,2014
Illinois St,77,Morehead St,67,Team1,2014
Fresno St,61,UTEP,56,Team1,2014
TAM C. Christi,82,N Colorado,71,Team1,2014
Yale,69,Quinnipiac,68,Team1,2014
Towson,63,SC Upstate,60,Team1,2014
Ohio,64,Cleveland St,62,Team1,2014
PFW,97,Akron,91,Team1,2014
NE Omaha,91,North Dakota,75,Team1,2014
Murray St,66,Missouri St,63,Team1,2014
Pacific,69,Grand Canyon,67,Team1,2014
Tennessee,78,Iowa,65,Team1,2014
Cal Poly,81,TX Southern,69,Team1,2014
Dayton,60,Ohio St,59,Team1,2014
Syracuse,77,W Michigan,53,Team1,2014
Connecticut,89,St Joseph's PA,81,Team1,2014
Villanova,73,WI Milwaukee,53,Team1,2014
Pittsburgh,77,Colorado,48,Team1,2014
Louisville,71,Manhattan,64,Team1,2014
Oregon,87,BYU,68,Team1,2014
Wisconsin,75,American Univ,35,Team1,2014
Texas,87,Arizona St,85,Team1,2014
Michigan,57,Wofford,40,Team1,2014
Harvard,61,Cincinnati,57,Team1,2014
Michigan St,93,Delaware,78,Team1,2014
N Dakota St,80,Oklahoma,75,Team1,2014
San Diego St,73,New Mexico St,69,Team1,2014
Florida,67,Albany NY,55,Team1,2014
St Louis,83,NC State,80,Team1,2014
Mercer,78,Duke,71,Team1,2014
Virginia,70,Coastal Car,59,Team1,2014
Memphis,71,G Washington,66,Team1,2014
Stanford,58,New Mexico,53,Team1,2014
Kansas,80,E Kentucky,69,Team1,2014
Kentucky,56,Kansas St,49,Team1,2014
Baylor,74,Nebraska,60,Team1,2014
Creighton,76,Louisiana,66,Team1,2014
North Carolina,79,Providence,77,Team1,2014
Iowa St,93,NC Central,75,Team1,2014
SF Austin,77,VA Commonwealth,75,Team1,2014
UCLA,76,Tulsa,59,Team1,2014
Arizona,68,Weber St,59,Team1,2014
Gonzaga,85,Oklahoma St,77,Team1,2014
Tennessee,86,Massachusetts,67,Team1,2014
Towson,83,ETSU,77,Team1,2014
Wichita St,64,Cal Poly,37,Team1,2014
Belmont,82,Robert Morris,71,Team1,2014
Louisiana Tech,79,Georgia,71,Team1,2014
Florida,61,Pittsburgh,45,Team1,2014
VMI,106,PFW,95,Team1,2014
Ohio,56,Wright St,54,Team1,2014
Louisville,66,St Louis,51,Team1,2014
Michigan,79,Texas,65,Team1,2014
