Team1,Team2
Mount St. Mary's Md. 69, Coppin State 60
No. 1 North Carolina 113, No. 16 Mount St. Mary's Md. 74
No. 9 Arkansas 86, No. 8 Indiana 72
No. 5 Notre Dame 68, No. 12 George Mason 50
No. 4 Washington State 71, No. 13 Winthrop 40
No. 6 Oklahoma 72, No. 11 Saint Joseph's 64
No. 3 Louisville 79, No. 14 Boise State 61
No. 7 Butler 81, No. 10 South Alabama 61
No. 2 Tennessee 72, No. 15 American 57
No. 1 Kansas 85, No. 16 Portland State 61
No. 8 UNLV 71, No. 9 Kent State 58
No. 12 Villanova 75, No. 5 Clemson 69
No. 13 Siena 83, No. 4 Vanderbilt 62
No. 11 Kansas State 80, No. 6 Southern Cal 67
No. 3 Wisconsin 71, No. 14 Cal State Fullerton 56
No. 10 Davidson 82, No. 7 Gonzaga 76
No. 2 Georgetown 66, No. 15 Maryland-Baltimore County 47
No. 1 Memphis 87, No. 16 Texas-Arlington 63
No. 8 Mississippi State 76, No. 9 Oregon 69
No. 5 Michigan State 72, No. 12 Temple 61
No. 4 Pittsburgh 82, No. 13 Oral Roberts 63
No. 6 Marquette 74, No. 11 Kentucky 66
No. 3 Stanford 77, No. 14 Cornell 53
No. 7 Miami (Fla.) 78, No. 10 Saint Mary's Calif. 64
No. 2 Texas 74, No. 15 Austin Peay 54
No. 1 UCLA 70, No. 16 Mississippi Valley State 29
No. 9 Texas A&M 67, No. 8 BYU 62
No. 12 Western Kentucky 101, No. 5 Drake 99
No. 13 San Diego 70, No. 4 Connecticut 69
No. 6 Purdue 90, No. 11 Baylor 79
No. 3 Xavier 73, No. 14 Georgia 61
No. 7 West Virginia 75, No. 10 Arizona 65
No. 2 Duke 71, No. 15 Belmont 70
North Carolina 108, Arkansas 77
Washington State 61, Notre Dame 41
Louisville 78, Oklahoma 48
Tennessee 76, Butler 71
Kansas 75, UNLV 56
Villanova 84, Siena 72
Wisconsin 72, Kansas State 55
Davidson 74, Georgetown 70
Memphis 77, Mississippi State 74
Michigan State 65, Pittsburgh 54
Stanford 82, Marquette 81
Texas 75, Miami 72
UCLA 51, Texas A&M 49
Western Kentucky 72, San Diego 63
Xavier 85, Purdue 78
West Virginia 73, Duke 67
North Carolina 68, Washington State 47
Louisville 79, Tennessee 60
Kansas 72, Villanova 57
Davidson 73, Wisconsin 56
Memphis 92, Michigan State 74
Texas 82, Stanford 62
UCLA 88, Western Kentucky 78
Xavier 79, West Virginia 75
North Carolina 83, Louisville 73
Kansas 59, Davidson 57
Memphis 85, Texas 67
UCLA 76, Xavier 57
Memphis 78, UCLA 63
Kansas 84, North Carolina 66
Kansas 75, Memphis 68
