South
No. 1 Duke 84, No. 16 Winthrop 37
No. 8 Notre Dame 82, No. 9 Charlotte 63
No. 5 Indiana 75, No. 12 Utah 56
No. 13 UNC Wilmington 93, No. 4 Southern California 89 (OT)
No. 6 California 82, No. 11 Pennsylvania 75
No. 3 Pittsburgh 71, No. 14 Central Conn. St. 54
No. 10 Kent St. 69, No. 7 Oklahoma St. 61
No. 2 Alabama 86, No. 15 Fla. Atlantic 78

West
No. 1 Cincinnati 90, No. 16 Boston U. 52
No. 8 UCLA 80, No. 9 Mississippi 58
No. 12 Missouri 93, No. 5 Miami (Fla.) 80
No. 4 Ohio St. 69, No. 13 Davidson 64
No. 11 Wyoming 73, No. 6 Gonzaga 66
No. 3 Arizona 86, No. 14 UC Santa Barb. 81
No. 7 Xavier 70, No. 10 Hawaii 58
No. 2 Oklahoma 71, No. 15 Ill.-Chicago 63

East
No. 1 Maryland 85, No. 16 Siena 70
No. 8 Wisconsin 80, No. 9 St. John's (N.Y.) 70
No. 12 Tulsa 71, No. 5 Marquette 69
No. 4 Kentucky 83, No. 13 Valparaiso 68
No. 11 Southern Ill. 76, No. 6 Texas Tech 68
No. 3 Georgia 85, No. 14 Murray St. 68
No. 7 North Carolina St. 69, No. 10 Michigan St. 58
No. 2 Connecticut 78, No. 15 Hampton 67

Midwest
No. 1 Kansas 70, No. 16 Holy Cross 59
No. 8 Stanford 84, No. 9 Western Ky. 68
No. 12 Creighton 83, No. 5 Florida 82 (2OT)
No. 4 Illinois 93, No. 13 San Diego St. 64
No. 6 Texas 70, No. 11 Boston College 57
No. 3 Mississippi St. 70, No. 14 McNeese St. 58
No. 7 Wake Forest 83, No. 10 Pepperdine 74
No. 2 Oregon 81, No. 15 Montana 62

If roun

Team 1, Team 2, Winner, Year
Duke,Winthrop,Duke,2002
